panel	genes_total	genes_measured	cellcycle_genes	pct_cellcycle	rho_rate	p_rate	rho_rate_noCC	genes_after_removal	median_gene_rho	beta	lo	hi	p	beta_adj	lo_adj	hi_adj	p_adj	pct_lost	FDR	FDR_adj
Reactome Cellular Senescence	166	150	82	54.6666666666667	0.674959026198716	5.92580154622882e-45	0.383240690628387	68	0.208468616167911	-0.0255930758730583	-0.041874499456718	-0.00931165228939857	0.00237037647362905	3.56519387154641e-05	-0.0123211652510458	0.0123924691284767	0.995444207756345	99.8606969365765	0.00414815882885083	0.995444207756345
SenMayo	124	88	1	1.13636363636364	-0.100381265922638	0.069427145419886	-0.13728038696894	87	-0.0540071179387844	0.0029649311726415	-0.0135115279643094	0.0194413903095924	0.721857909299995	0.00150949704317473	-0.0165103890179134	0.0195293831042629	0.868339745213312	49.0882939508542	0.721857909299995	0.995444207756345
Fridman senescence, up	77	71	11	15.4929577464789	-0.074904139412489	0.175961559340076	0.00755475458482881	60	-0.0671463649322204	0.043302608312043	0.0213451759648909	0.0652600406591952	0.000166036764246971	0.0147200930183454	-0.00458084783573239	0.0340210338724233	0.133408498369579	66.006451823246	0.000387419116576265	0.93385948858705
Fridman senescence, down	13	11	3	27.2727272727273	0.378089018273249	1.37941063293735e-12	0.0109761669265705	8	0.159081901184514	-0.0343295526243046	-0.0616351010481371	-0.0070240042004721	0.014253578072381	-0.00451407127818614	-0.0304003890906177	0.0213722465342454	0.730094984290484	86.8507716148032	0.0199550093013334	0.995444207756345
CellAge, induces senescence	370	315	33	10.4761904761905	0.334673536696933	5.02632620959004e-10	0.211275017653869	282	0.0242149684834738	0.00190633509397667	-0.00762281875456768	0.011435488942521	0.692314513470527	0.00394691308876909	-0.00643317775278323	0.0143270039303214	0.452392159638016	-107.041936186345	0.721857909299995	0.995444207756345
CellAge, inhibits senescence	475	440	94	21.3636363636364	0.69211998849943	4.40403142132066e-48	0.706236502535613	346	0.201379838152138	-0.0405322945976257	-0.0604371414834185	-0.020627447711833	0.000104576305449058	-0.00221855601625958	-0.0125212625406231	0.00808415050810398	0.670135481694703	94.5264485065952	0.000366017069071701	0.995444207756345
Reactome Cell Cycle, Mitotic (control)	521	499	499	100	0.61986820030048	3.35015417848713e-36		0	0.343015375951771	-0.0881775243791129	-0.128144657295917	-0.0482103914623087	2.94304209787438e-05	-0.00593035665656966	-0.0206095938389101	0.00874888052577076	0.424732842677835	93.274525795176	0.000206012946851207	0.995444207756345
