gene	rho	mean_logcpm	in_set	named	log2FC_per_division_per_day	P	FDR
A1BG	-0.465390803947213	3.54036588728973	FALSE	FALSE			
A1BG-AS1	-0.293393164691001	2.34602078551171	FALSE	FALSE			
A1CF	-0.180948878264196	1.42865476599022	FALSE	FALSE			
A2M	-0.281604748149258	0.484812537895508	FALSE	FALSE			
A2ML1	-0.211130149185766	-0.541786499883443	FALSE	FALSE			
A3GALT2	-0.173404668798485	-1.87049822618527	FALSE	FALSE			
A4GALT	-0.357282029491868	4.43748497522616	FALSE	FALSE			
A4GNT	-0.281386121397862	-1.34539090523226	FALSE	FALSE			
AAAS	0.153874797936651	4.34312900235073	FALSE	FALSE			
AACS	0.632897520692239	4.14054733793681	FALSE	FALSE			
AACSP1	-0.327258379544396	2.42312577658839	FALSE	FALSE			
AADACL2	-0.112005430187165	1.74096294331285	FALSE	FALSE			
AADACL2-AS1	0.0117946638463148	-1.63070407164287	FALSE	FALSE			
AADACL3	0.121320540699539	-0.0852584573261233	FALSE	FALSE			
AADAT	-0.0622186265823537	3.08159147710961	FALSE	FALSE			
AAGAB	0.137568083504187	4.73336176918159	FALSE	FALSE			
AAK1	0.0986879031599198	7.67707059789497	FALSE	FALSE			
AAMDC	0.0384452348731321	2.53159572929924	FALSE	FALSE			
AAMP	0.349753119985856	4.20801474965685	FALSE	FALSE			
AANAT	0.199869685728868	-1.7743336986664	FALSE	FALSE			
AAR2	-0.231443530968434	4.38508589311814	FALSE	FALSE			
AARD	-0.291260095521577	1.32310636137238	FALSE	FALSE			
AARS1	-0.185337270627182	7.49158471196215	FALSE	FALSE			
AARS2	0.0885046020394094	3.84985381118688	FALSE	FALSE			
AARSD1	0.127128031929645	2.42190636407468	FALSE	FALSE			
AASDH	-0.234172567251356	3.46736662788698	FALSE	FALSE			
AASDHPPT	-0.0792104056368678	4.82736614124522	FALSE	FALSE			
AASS	0.298023684634479	4.8913941187791	FALSE	FALSE			
AATBC	0.0819907920105961	1.18792521280606	FALSE	FALSE			
AATF	0.449093441352478	4.2324427205241	FALSE	FALSE			
AATK	0.0209828122501366	-1.22565781470817	FALSE	FALSE			
ABALON	-0.07206645177849	1.76657349149163	FALSE	FALSE			
ABAT	-0.23115175363127	2.41063839931212	FALSE	FALSE			
ABCA1	-0.190856045121562	6.69810564498823	FALSE	FALSE			
ABCA10	-0.152033506104392	2.82430122737958	FALSE	FALSE			
ABCA11P	-0.27045327677361	0.578040796509858	FALSE	FALSE			
ABCA12	0.0183928700168276	-0.530670703631825	FALSE	FALSE			
ABCA13	-0.423529087701324	1.81604158519498	FALSE	FALSE			
ABCA15P	-0.241162810904142	1.60352099360618	FALSE	FALSE			
ABCA17P	-0.304808961946151	-1.97938562109884	FALSE	FALSE			
ABCA2	-0.777687773424906	6.26959774913713	FALSE	FALSE			
ABCA3	-0.629212896626762	1.4301137050133	FALSE	FALSE			
ABCA4	-0.423380648531543	0.109968215693279	FALSE	FALSE			
ABCA5	-0.0108741468786108	5.5266755693987	FALSE	FALSE			
ABCA6	-0.203881284711403	4.07579541514179	FALSE	FALSE			
ABCA7	-0.301972200557345	1.75140155596898	FALSE	FALSE			
ABCA8	-0.369863991973325	2.83624194715393	FALSE	FALSE			
ABCA9	-0.273507927042937	4.07457865936862	FALSE	FALSE			
ABCB1	-0.078042429239304	-2.90184527830763	FALSE	FALSE			
ABCB10	0.0709671857617243	4.18340075294024	FALSE	FALSE			
ABCB4	-0.0332946138550337	-0.134611692669857	FALSE	FALSE			
ABCB5	-0.382088544220095	1.03086412694743	FALSE	FALSE			
ABCB6	-0.40017567852287	3.71874053386222	FALSE	FALSE			
ABCB7	0.0655198253009163	4.12914115217329	FALSE	FALSE			
ABCB8	0.181471731009989	4.20416966945329	FALSE	FALSE			
ABCB9	0.438826313759228	1.27496830692083	FALSE	FALSE			
ABCC1	-0.304470501498465	7.08506009741443	FALSE	FALSE			
ABCC10	0.1950810353744	4.47318038339213	FALSE	FALSE			
ABCC11	0.0113080721492661	0.838179976157966	FALSE	FALSE			
ABCC13	-8.33163725004191e-05	-1.07330797156471	FALSE	FALSE			
ABCC2	-0.353761487670193	-0.339266896132037	FALSE	FALSE			
ABCC3	-0.012754376362508	6.23684562913649	FALSE	FALSE			
ABCC4	0.592205464296208	5.80373946446291	FALSE	FALSE			
ABCC5	0.0103956728536798	4.77915695254098	FALSE	FALSE			
ABCC6	-0.36839150261444	-0.0248472635316172	FALSE	FALSE			
ABCC6P2	-0.207573268402813	-2.36363657623153	FALSE	FALSE			
ABCC8	-0.0742923591915573	0.63704184630205	FALSE	FALSE			
ABCC9	-0.00206981673968898	5.2358595251404	FALSE	FALSE			
ABCD1	-0.0179859644218813	2.87966483109929	FALSE	FALSE			
ABCD3	0.175500497602908	5.11863861382497	FALSE	FALSE			
ABCD4	-0.267872509627056	3.57113493393762	FALSE	FALSE			
ABCE1	0.472897099009261	6.4708579549706	FALSE	FALSE			
ABCF1	0.0863759537387304	2.94502083105816	FALSE	FALSE			
ABCF2	0.25495371095392	5.27347215001302	FALSE	FALSE			
ABCF2-H2BK1	0.172472202512638	4.29850477197389	FALSE	FALSE			
ABCF3	-0.171217866022973	4.49303457805484	FALSE	FALSE			
ABCG1	0.0944584920383373	0.374521565318699	FALSE	FALSE			
ABCG2	-0.0600476399617714	-0.265409043141283	FALSE	FALSE			
ABCG4	0.0932455253098083	-1.67852703489347	FALSE	FALSE			
ABCG8	-0.232511000736919	2.77570070187211	FALSE	FALSE			
ABHD1	-0.292926325076382	-1.89745005122528	FALSE	FALSE			
ABHD10	0.0794311090072873	3.61315452391966	FALSE	FALSE			
