cohort	n	rho_age_prolif	r_machinery_prolif	age_assoc	adj_assoc	decline_kept	adj_only	rho_coupling_retained
primary	107	-0.45876338588916	0.891264560913894	137	19	19	0	-0.450241079621198
normal	133	-0.450098870178771	0.869952465195032	152	60	56	2	-0.4051154758401
adult2082	76	-0.250152184367454	0.863239482910937	107	0	0	0	-0.64102508613078
published	142	-0.402644818794087	0.868612333265812	129	49	40	8	-0.386435051332214
