sample	line	cond	oxy	days	rate	prolif	splice	splice96
Sample_294	HC1	2-Deoxyglucose	21	113.9986111	0.112231965410639	-0.124632288105624	-0.471391609396183	-0.633370876999375
Sample_298	HC1	2-Deoxyglucose	21	162.9743056	0.120384257823113	-0.162893628550282	-0.400545177795022	-0.434449690515424
Sample_293	HC1	2-Deoxyglucose	21	99.95	0.120534488856228	-0.237129380742553	-0.419120163756872	-0.542604875531065
Sample_295	HC1	2-Deoxyglucose	21	127.9916667	0.146512474025032	-0.14022082013009	-0.345724420093091	-0.421506634879854
Sample_296	HC1	2-Deoxyglucose	21	142.0576389	0.149761514055361	-0.0908330458152949	-0.0649616703716947	-0.116165346667378
Sample_297	HC1	2-Deoxyglucose	21	156.0854167	0.159333039756011	-0.00565736445066537	-0.374076171761814	-0.429508389869435
Sample_349	HC2	2-Deoxyglucose	21	156.8854167	0.185042940420959	-0.518582967030526	-0.412399646998218	-0.522260005445882
Sample_291	HC1	2-Deoxyglucose	21	71.8875	0.185679540916495	-0.365900837224411	-0.560281347415222	-0.614151297879529
Sample_289	HC1	2-Deoxyglucose	21	43.93611111	0.207098425913725	0.538455936169689	0.0404130138529891	-0.0973772455529359
Sample_292	HC1	2-Deoxyglucose	21	93.00555556	0.234362287905706	0.193753876005182	-0.260820668817243	-0.362315236519611
Sample_346	HC2	2-Deoxyglucose	21	121.9375	0.237071514142462	-0.326194958986175	-0.312577695876595	-0.41067822261995
Sample_348	HC2	2-Deoxyglucose	21	142.8576389	0.240938721207132	0.0872828942132229	-0.129736546371477	-0.195779669729302
Sample_290	HC1	2-Deoxyglucose	21	57.95347222	0.241149816650087	0.272770774605175	-0.294705157016295	-0.447886335836943
Sample_341	HC2	2-Deoxyglucose	21	44.73611111	0.246077813233023	0.923744926437303	0.186332447268821	0.0443445292812739
Sample_343	HC2	2-Deoxyglucose	21	72.6875	0.264042693871143	0.22338961454498	-0.239118814052874	-0.304009634137577
Sample_350	HC2	2-Deoxyglucose	21	163.7743056	0.264275859689025	-0.392517853369528	-0.464562864157276	-0.475735553054077
Sample_288	HC1	2-Deoxyglucose	21	29.88055556	0.285536673133542	0.891823373695138	0.136401580632736	0.0683134240407756
Sample_342	HC2	2-Deoxyglucose	21	58.75347222	0.309565375183057	0.335928283623468	-0.189201133675647	-0.192559925464575
Sample_347	HC2	2-Deoxyglucose	21	128.7916667	0.31049885505352	0.18046612283552	-0.211541696473849	-0.269827438738752
Sample_345	HC2	2-Deoxyglucose	21	107.7743056	0.320905812836642	0.898491847427319	0.292678451381274	0.218928771040894
Sample_344	HC2	2-Deoxyglucose	21	93.80555556	0.33936054943525	0.978591995667211	0.118078684639299	0.00350635654639223
Sample_340	HC2	2-Deoxyglucose	21	30.68055556	0.3779449398256	1.27052316799155	0.31541278365396	0.133577297062641
Sample_287	HC1	2-Deoxyglucose	21	15.88055556	0.689965952112168	1.425102328329	0.683153279487813	0.686083322909967
Sample_339	HC2	2-Deoxyglucose	21	16.68055556	0.780269738136589	1.44652170335992	0.644437479345332	0.532022270171665
Sample_251	HC1	Contact_Inhibition	3	141.575	0.0306528656141141	-0.816132269170713	-1.12399845149513	-1.1457667159004
Sample_257	HC2	Contact_Inhibition	3	142.375	0.0338001952868531	-0.323617726341418	-0.640007248211774	-0.668203951683615
Sample_230	HC1	Contact_Inhibition	21	141.575	0.0406117963932285	-1.80772304227378	-0.768988040484417	-0.733552339320249
Sample_250	HC1	Contact_Inhibition	3	121.1166667	0.0430196684836268	-0.733499689999409	-1.10297912586445	-1.08653021895567
Sample_237	HC2	Contact_Inhibition	21	142.375	0.0433479400466649	-1.9325263199507	-0.500372281791483	-0.578065266248773
Sample_229	HC1	Contact_Inhibition	21	121.1166667	0.0467993136181008	-1.53851256957556	-0.457783797205964	-0.480861424948086
Sample_256	HC2	Contact_Inhibition	3	121.9166667	0.0481852623787712	-0.514000833577318	-1.40891960299597	-1.52788775240696
Sample_249	HC1	Contact_Inhibition	3	100.4083333	0.048635429561897	-0.863535517298294	-0.846238826492774	-0.907590974718728
Sample_244	HC4	Contact_Inhibition	3	134.375	0.0500241670711367	-0.74912524147172	-0.72247648649071	-0.805160452879137
Sample_223	HC4	Contact_Inhibition	21	134.375	0.0523087668980913	-1.84391150661605	-0.251672998910233	-0.364997336545559
Sample_236	HC2	Contact_Inhibition	21	121.9166667	0.0528203408914319	-1.62288877904257	-2.49564616208783	-1.94616847502843
Sample_255	HC2	Contact_Inhibition	3	101.2083333	0.0571309770962353	-0.64766656122462	-0.892554315799132	-1.01618803289318
Sample_228	HC1	Contact_Inhibition	21	100.4083333	0.0571526171088886	-1.50487216320088	-0.414698734233198	-0.416023604691609
Sample_235	HC2	Contact_Inhibition	21	101.2083333	0.0586392260368836	-1.64022776413064	-0.52779493791951	-0.580030609000891
Sample_222	HC4	Contact_Inhibition	21	113.9166667	0.062555425491676	-1.46530376123564	-0.475966338783175	-0.551353803564694
Sample_243	HC4	Contact_Inhibition	3	113.9166667	0.0637621185664852	-0.786738829722084	-0.724906504849217	-0.846064722104869
