set	n_contrasts	n_series	rho	lo	hi	p	r2
all contrasts	63	23	0.864007296466974	0.78409206965406	0.915740040867831	7.75433933714218e-20	0.922999203131412
set-defining series dropped	49	20	0.840714285714286	0.732739927945065	0.907397766709544	4.10830833476452e-14	0.928633821224656
